"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2000",537761.3282,
"AUS","GDP","TOT","MLN_USD","A","2001",567709.0249,
"AUS","GDP","TOT","MLN_USD","A","2002",599301.22,
"AUS","GDP","TOT","MLN_USD","A","2003",635085.0712,
"AUS","GDP","TOT","MLN_USD","A","2004",675451.92,
"AUS","GDP","TOT","MLN_USD","A","2005",717705.0792,
"AUS","GDP","TOT","MLN_USD","A","2006",774327.4315,
"AUS","GDP","TOT","MLN_USD","A","2007",825040.7301,
"AUS","GDP","TOT","MLN_USD","A","2008",851983.1297,
"AUS","GDP","TOT","MLN_USD","A","2009",902670.5116,
"AUS","GDP","TOT","MLN_USD","A","2010",943228.4205,
"AUS","GDP","TOT","MLN_USD","A","2011",992327.3798,
"AUS","GDP","TOT","MLN_USD","A","2012",997527.3466,
"AUS","GDP","TOT","MLN_USD","A","2013",1104626.1349,
"AUS","GDP","TOT","MLN_USD","A","2014",1118350.267,
"AUS","GDP","TOT","MLN_USD","A","2015",1127712.5423,
"AUS","GDP","TOT","MLN_USD","A","2016",1215897.6861,
"AUT","GDP","TOT","MLN_USD","A","2000",235380.4085,
"AUT","GDP","TOT","MLN_USD","A","2001",238978.4094,
"AUT","GDP","TOT","MLN_USD","A","2002",251984.7843,
"AUT","GDP","TOT","MLN_USD","A","2003",260767.9054,
"AUT","GDP","TOT","MLN_USD","A","2004",275747.0012,
"AUT","GDP","TOT","MLN_USD","A","2005",288086.7221,
"AUT","GDP","TOT","MLN_USD","A","2006",311091.8412,
"AUT","GDP","TOT","MLN_USD","A","2007",326780.2903,
"AUT","GDP","TOT","MLN_USD","A","2008",343812.9764,
"AUT","GDP","TOT","MLN_USD","A","2009",341463.0176,
"AUT","GDP","TOT","MLN_USD","A","2010",351313.6961,
"AUT","GDP","TOT","MLN_USD","A","2011",373031.477,
"AUT","GDP","TOT","MLN_USD","A","2012",391635.1762,
"AUT","GDP","TOT","MLN_USD","A","2013",406370.2445,
"AUT","GDP","TOT","MLN_USD","A","2014",417059.5187,
"AUT","GDP","TOT","MLN_USD","A","2015",431078.1342,
"AUT","GDP","TOT","MLN_USD","A","2016",451297.2461,
"BEL","GDP","TOT","MLN_USD","A","2000",286916.7017,
"BEL","GDP","TOT","MLN_USD","A","2001",297883.4312,
"BEL","GDP","TOT","MLN_USD","A","2002",314972.1581,
"BEL","GDP","TOT","MLN_USD","A","2003",322245.5822,
"BEL","GDP","TOT","MLN_USD","A","2004",335956.2372,
"BEL","GDP","TOT","MLN_USD","A","2005",349276.761,
"BEL","GDP","TOT","MLN_USD","A","2006",373252.7108,
"BEL","GDP","TOT","MLN_USD","A","2007",391797.4928,
"BEL","GDP","TOT","MLN_USD","A","2008",408408.7386,
"BEL","GDP","TOT","MLN_USD","A","2009",410361.8861,
"BEL","GDP","TOT","MLN_USD","A","2010",436389.5608,
"BEL","GDP","TOT","MLN_USD","A","2011",455705.2637,
"BEL","GDP","TOT","MLN_USD","A","2012",471332.4746,
"BEL","GDP","TOT","MLN_USD","A","2013",486673.7112,
"BEL","GDP","TOT","MLN_USD","A","2014",499974.7211,
"BEL","GDP","TOT","MLN_USD","A","2015",514017.2959,
"BEL","GDP","TOT","MLN_USD","A","2016",535003.4891,
"CAN","GDP","TOT","MLN_USD","A","2000",901015.2424,
"CAN","GDP","TOT","MLN_USD","A","2001",937265.1746,
"CAN","GDP","TOT","MLN_USD","A","2002",971003.3941,
"CAN","GDP","TOT","MLN_USD","A","2003",1023336.7535,
"CAN","GDP","TOT","MLN_USD","A","2004",1083183.0946,
"CAN","GDP","TOT","MLN_USD","A","2005",1171325.3311,
"CAN","GDP","TOT","MLN_USD","A","2006",1241294.1268,
"CAN","GDP","TOT","MLN_USD","A","2007",1300541.8517,
"CAN","GDP","TOT","MLN_USD","A","2008",1342397.4236,
"CAN","GDP","TOT","MLN_USD","A","2009",1308017.4298,
"CAN","GDP","TOT","MLN_USD","A","2010",1363823.0163,
"CAN","GDP","TOT","MLN_USD","A","2011",1430807.1253,
"CAN","GDP","TOT","MLN_USD","A","2012",1468095.7685,
"CAN","GDP","TOT","MLN_USD","A","2013",1554122.7451,
"CAN","GDP","TOT","MLN_USD","A","2014",1621391.8322,
"CAN","GDP","TOT","MLN_USD","A","2015",1594897.6212,
"CAN","GDP","TOT","MLN_USD","A","2016",1628880.1751,
"CZE","GDP","TOT","MLN_USD","A","2000",166037.7222,
"CZE","GDP","TOT","MLN_USD","A","2001",179347.2711,
"CZE","GDP","TOT","MLN_USD","A","2002",185474.0896,
"CZE","GDP","TOT","MLN_USD","A","2003",198029.4789,
"CZE","GDP","TOT","MLN_USD","A","2004",212091.1078,
"CZE","GDP","TOT","MLN_USD","A","2005",224201.3809,
"CZE","GDP","TOT","MLN_USD","A","2006",243445.1989,
"CZE","GDP","TOT","MLN_USD","A","2007",269055.7953,
"CZE","GDP","TOT","MLN_USD","A","2008",289157.1486,
"CZE","GDP","TOT","MLN_USD","A","2009",288245.3284,
"CZE","GDP","TOT","MLN_USD","A","2010",289800.0366,
"CZE","GDP","TOT","MLN_USD","A","2011",302260.2358,
"CZE","GDP","TOT","MLN_USD","A","2012",305309.3707,
"CZE","GDP","TOT","MLN_USD","A","2013",320535.0972,
"CZE","GDP","TOT","MLN_USD","A","2014",339582.5988,
"CZE","GDP","TOT","MLN_USD","A","2015",355311.7368,
"CZE","GDP","TOT","MLN_USD","A","2016",372257.3969,
"DNK","GDP","TOT","MLN_USD","A","2000",153044.6321,
"DNK","GDP","TOT","MLN_USD","A","2001",157814.0956,
"DNK","GDP","TOT","MLN_USD","A","2002",164720.3879,
"DNK","GDP","TOT","MLN_USD","A","2003",165955.5208,
"DNK","GDP","TOT","MLN_USD","A","2004",177855.7558,
"DNK","GDP","TOT","MLN_USD","A","2005",185074.4459,
"DNK","GDP","TOT","MLN_USD","A","2006",202786.6121,
"DNK","GDP","TOT","MLN_USD","A","2007",212824.1067,
"DNK","GDP","TOT","MLN_USD","A","2008",226767.5052,
"DNK","GDP","TOT","MLN_USD","A","2009",222799.9449,
"DNK","GDP","TOT","MLN_USD","A","2010",238548.3037,
"DNK","GDP","TOT","MLN_USD","A","2011",247352.2892,
"DNK","GDP","TOT","MLN_USD","A","2012",250524.5651,
"DNK","GDP","TOT","MLN_USD","A","2013",262368.1157,
"DNK","GDP","TOT","MLN_USD","A","2014",270330.6084,
"DNK","GDP","TOT","MLN_USD","A","2015",278823.125,
"DNK","GDP","TOT","MLN_USD","A","2016",290376.8332,
"FIN","GDP","TOT","MLN_USD","A","2000",138478.5256,
"FIN","GDP","TOT","MLN_USD","A","2001",144074.0254,
"FIN","GDP","TOT","MLN_USD","A","2002",148566.4337,
"FIN","GDP","TOT","MLN_USD","A","2003",151098.6672,
"FIN","GDP","TOT","MLN_USD","A","2004",162691.0105,
"FIN","GDP","TOT","MLN_USD","A","2005",167840.4509,
"FIN","GDP","TOT","MLN_USD","A","2006",180964.9146,
"FIN","GDP","TOT","MLN_USD","A","2007",199401.5227,
"FIN","GDP","TOT","MLN_USD","A","2008",212373.3688,
"FIN","GDP","TOT","MLN_USD","A","2009",201969.5903,
"FIN","GDP","TOT","MLN_USD","A","2010",207762.3937,
"FIN","GDP","TOT","MLN_USD","A","2011",219214.027,
"FIN","GDP","TOT","MLN_USD","A","2012",219916.339,
"FIN","GDP","TOT","MLN_USD","A","2013",224594.224,
"FIN","GDP","TOT","MLN_USD","A","2014",226490.0902,
"FIN","GDP","TOT","MLN_USD","A","2015",231351.0257,
"FIN","GDP","TOT","MLN_USD","A","2016",240309.4371,
"FRA","GDP","TOT","MLN_USD","A","2000",1589465.7201,
"FRA","GDP","TOT","MLN_USD","A","2001",1687423.4006,
"FRA","GDP","TOT","MLN_USD","A","2002",1762925.9348,
"FRA","GDP","TOT","MLN_USD","A","2003",1751662.7565,
"FRA","GDP","TOT","MLN_USD","A","2004",1820572.9933,
"FRA","GDP","TOT","MLN_USD","A","2005",1926880.3853,
"FRA","GDP","TOT","MLN_USD","A","2006",2063551.068,
"FRA","GDP","TOT","MLN_USD","A","2007",2182208.3645,
"FRA","GDP","TOT","MLN_USD","A","2008",2259255.8436,
"FRA","GDP","TOT","MLN_USD","A","2009",2244374.8476,
"FRA","GDP","TOT","MLN_USD","A","2010",2334490.5519,
"FRA","GDP","TOT","MLN_USD","A","2011",2446474.5436,
"FRA","GDP","TOT","MLN_USD","A","2012",2474005.2873,
"FRA","GDP","TOT","MLN_USD","A","2013",2608523.5042,
"FRA","GDP","TOT","MLN_USD","A","2014",2662032.8726,
"FRA","GDP","TOT","MLN_USD","A","2015",2719224.5205,
"FRA","GDP","TOT","MLN_USD","A","2016",2811271.3498,
"DEU","GDP","TOT","MLN_USD","A","2000",2244219.1782,
"DEU","GDP","TOT","MLN_USD","A","2001",2344986.9548,
"DEU","GDP","TOT","MLN_USD","A","2002",2419131.8519,
"DEU","GDP","TOT","MLN_USD","A","2003",2475198.1926,
"DEU","GDP","TOT","MLN_USD","A","2004",2592443.7655,
"DEU","GDP","TOT","MLN_USD","A","2005",2636420.1082,
"DEU","GDP","TOT","MLN_USD","A","2006",2820716.5369,
"DEU","GDP","TOT","MLN_USD","A","2007",2998677.8556,
"DEU","GDP","TOT","MLN_USD","A","2008",3122546.7214,
"DEU","GDP","TOT","MLN_USD","A","2009",3033861.8295,
"DEU","GDP","TOT","MLN_USD","A","2010",3204627.1036,
"DEU","GDP","TOT","MLN_USD","A","2011",3427140.5764,
"DEU","GDP","TOT","MLN_USD","A","2012",3503684.2066,
"DEU","GDP","TOT","MLN_USD","A","2013",3647777.5941,
"DEU","GDP","TOT","MLN_USD","A","2014",3821628.0696,
"DEU","GDP","TOT","MLN_USD","A","2015",3919280.2932,
"DEU","GDP","TOT","MLN_USD","A","2016",4110953.334,
"GRC","GDP","TOT","MLN_USD","A","2000",210917.4283,
"GRC","GDP","TOT","MLN_USD","A","2001",227708.8165,
"GRC","GDP","TOT","MLN_USD","A","2002",246559.281,
"GRC","GDP","TOT","MLN_USD","A","2003",260854.3971,
"GRC","GDP","TOT","MLN_USD","A","2004",278668.875,
"GRC","GDP","TOT","MLN_USD","A","2005",281028.3963,
"GRC","GDP","TOT","MLN_USD","A","2006",314295.4927,
"GRC","GDP","TOT","MLN_USD","A","2007",323631.2287,
"GRC","GDP","TOT","MLN_USD","A","2008",341817.8292,
"GRC","GDP","TOT","MLN_USD","A","2009",337268.7866,
"GRC","GDP","TOT","MLN_USD","A","2010",313048.1016,
"GRC","GDP","TOT","MLN_USD","A","2011",290296.6852,"P"
"GRC","GDP","TOT","MLN_USD","A","2012",279267.2732,"P"
"GRC","GDP","TOT","MLN_USD","A","2013",286168.6393,"P"
"GRC","GDP","TOT","MLN_USD","A","2014",292335.7415,"P"
"GRC","GDP","TOT","MLN_USD","A","2015",291109.1186,"P"
"GRC","GDP","TOT","MLN_USD","A","2016",293902.9558,"P"
"HUN","GDP","TOT","MLN_USD","A","2000",121285.6323,
"HUN","GDP","TOT","MLN_USD","A","2001",134791.6089,
"HUN","GDP","TOT","MLN_USD","A","2002",147803.5424,
"HUN","GDP","TOT","MLN_USD","A","2003",156686.9402,
"HUN","GDP","TOT","MLN_USD","A","2004",164196.2501,
"HUN","GDP","TOT","MLN_USD","A","2005",172304.9683,
"HUN","GDP","TOT","MLN_USD","A","2006",184285.4381,
"HUN","GDP","TOT","MLN_USD","A","2007",191362.818,
"HUN","GDP","TOT","MLN_USD","A","2008",207576.4765,
"HUN","GDP","TOT","MLN_USD","A","2009",206985.3806,
"HUN","GDP","TOT","MLN_USD","A","2010",215349.1695,
"HUN","GDP","TOT","MLN_USD","A","2011",227766.3138,
"HUN","GDP","TOT","MLN_USD","A","2012",229105.5356,
"HUN","GDP","TOT","MLN_USD","A","2013",242025.7031,
"HUN","GDP","TOT","MLN_USD","A","2014",251774.7606,
"HUN","GDP","TOT","MLN_USD","A","2015",259425.9339,
"HUN","GDP","TOT","MLN_USD","A","2016",263522.4647,
"ISL","GDP","TOT","MLN_USD","A","2000",8354.7556,
"ISL","GDP","TOT","MLN_USD","A","2001",9054.9035,
"ISL","GDP","TOT","MLN_USD","A","2002",9351.4048,
"ISL","GDP","TOT","MLN_USD","A","2003",9443.9894,
"ISL","GDP","TOT","MLN_USD","A","2004",10400.1903,
"ISL","GDP","TOT","MLN_USD","A","2005",11048.3558,
"ISL","GDP","TOT","MLN_USD","A","2006",11876.0407,
"ISL","GDP","TOT","MLN_USD","A","2007",12824.1302,
"ISL","GDP","TOT","MLN_USD","A","2008",13749.8517,
"ISL","GDP","TOT","MLN_USD","A","2009",13346.8168,
"ISL","GDP","TOT","MLN_USD","A","2010",12587.0994,
"ISL","GDP","TOT","MLN_USD","A","2011",13005.319,
"ISL","GDP","TOT","MLN_USD","A","2012",13446.4487,
"ISL","GDP","TOT","MLN_USD","A","2013",14296.6258,
"ISL","GDP","TOT","MLN_USD","A","2014",14966.3831,
"ISL","GDP","TOT","MLN_USD","A","2015",16161.7503,
"ISL","GDP","TOT","MLN_USD","A","2016",17555.0006,
"IRL","GDP","TOT","MLN_USD","A","2000",114831.921,
"IRL","GDP","TOT","MLN_USD","A","2001",125831.0378,
"IRL","GDP","TOT","MLN_USD","A","2002",138451.7822,
"IRL","GDP","TOT","MLN_USD","A","2003",144824.6283,
"IRL","GDP","TOT","MLN_USD","A","2004",157394.1675,
"IRL","GDP","TOT","MLN_USD","A","2005",168217.6903,
"IRL","GDP","TOT","MLN_USD","A","2006",188914.1186,
"IRL","GDP","TOT","MLN_USD","A","2007",205693.3632,
"IRL","GDP","TOT","MLN_USD","A","2008",198813.7927,
"IRL","GDP","TOT","MLN_USD","A","2009",188770.0502,
"IRL","GDP","TOT","MLN_USD","A","2010",197418.8127,
"IRL","GDP","TOT","MLN_USD","A","2011",205817.797,
"IRL","GDP","TOT","MLN_USD","A","2012",212880.6363,
"IRL","GDP","TOT","MLN_USD","A","2013",221790.1441,
"IRL","GDP","TOT","MLN_USD","A","2014",238440.774,
"IRL","GDP","TOT","MLN_USD","A","2015",324244.7636,
"IRL","GDP","TOT","MLN_USD","A","2016",337275.917,
"ITA","GDP","TOT","MLN_USD","A","2000",1538984.3215,
"ITA","GDP","TOT","MLN_USD","A","2001",1591435.9209,
"ITA","GDP","TOT","MLN_USD","A","2002",1634258.8133,
"ITA","GDP","TOT","MLN_USD","A","2003",1666742.0612,
"ITA","GDP","TOT","MLN_USD","A","2004",1698679.3979,
"ITA","GDP","TOT","MLN_USD","A","2005",1742085.9872,
"ITA","GDP","TOT","MLN_USD","A","2006",1879908.5737,
"ITA","GDP","TOT","MLN_USD","A","2007",1986698.5847,
"ITA","GDP","TOT","MLN_USD","A","2008",2082637.2498,
"ITA","GDP","TOT","MLN_USD","A","2009",2039614.9256,
"ITA","GDP","TOT","MLN_USD","A","2010",2075187.0663,
"ITA","GDP","TOT","MLN_USD","A","2011",2158285.1661,
"ITA","GDP","TOT","MLN_USD","A","2012",2157546.6275,
"ITA","GDP","TOT","MLN_USD","A","2013",2176319.7676,
"ITA","GDP","TOT","MLN_USD","A","2014",2192714.3985,
"ITA","GDP","TOT","MLN_USD","A","2015",2237096.3626,
"ITA","GDP","TOT","MLN_USD","A","2016",2367211.1336,
"JPN","GDP","TOT","MLN_USD","A","2000",3404300.1282,
"JPN","GDP","TOT","MLN_USD","A","2001",3493106.8913,
"JPN","GDP","TOT","MLN_USD","A","2002",3588864.9274,
"JPN","GDP","TOT","MLN_USD","A","2003",3694202.5562,
"JPN","GDP","TOT","MLN_USD","A","2004",3877296.2044,
"JPN","GDP","TOT","MLN_USD","A","2005",4045734.3991,
"JPN","GDP","TOT","MLN_USD","A","2006",4230713.9521,
"JPN","GDP","TOT","MLN_USD","A","2007",4416227.659,
"JPN","GDP","TOT","MLN_USD","A","2008",4456434.3648,
"JPN","GDP","TOT","MLN_USD","A","2009",4250983.2048,
"JPN","GDP","TOT","MLN_USD","A","2010",4480784.4068,
"JPN","GDP","TOT","MLN_USD","A","2011",4573186.7921,
"JPN","GDP","TOT","MLN_USD","A","2012",4746699.3877,
"JPN","GDP","TOT","MLN_USD","A","2013",4967051.5751,
"JPN","GDP","TOT","MLN_USD","A","2014",4986566.2095,
"JPN","GDP","TOT","MLN_USD","A","2015",5136018.7777,
"JPN","GDP","TOT","MLN_USD","A","2016",5221770.1934,
"KOR","GDP","TOT","MLN_USD","A","2000",850045.5464,
"KOR","GDP","TOT","MLN_USD","A","2001",908001.4937,
"KOR","GDP","TOT","MLN_USD","A","2002",989824.3999,
"KOR","GDP","TOT","MLN_USD","A","2003",1023783.1397,
"KOR","GDP","TOT","MLN_USD","A","2004",1102859.681,
"KOR","GDP","TOT","MLN_USD","A","2005",1165894.0613,
"KOR","GDP","TOT","MLN_USD","A","2006",1250723.7632,
"KOR","GDP","TOT","MLN_USD","A","2007",1354489.6394,
"KOR","GDP","TOT","MLN_USD","A","2008",1405710.9033,
"KOR","GDP","TOT","MLN_USD","A","2009",1396654.7456,
"KOR","GDP","TOT","MLN_USD","A","2010",1504724.4048,
"KOR","GDP","TOT","MLN_USD","A","2011",1559446.8342,
"KOR","GDP","TOT","MLN_USD","A","2012",1611272.9143,
"KOR","GDP","TOT","MLN_USD","A","2013",1644777.3066,
"KOR","GDP","TOT","MLN_USD","A","2014",1704457.6408,
"KOR","GDP","TOT","MLN_USD","A","2015",1824331.9727,
"KOR","GDP","TOT","MLN_USD","A","2016",1903410.733,
"LUX","GDP","TOT","MLN_USD","A","2000",24148.7199,
"LUX","GDP","TOT","MLN_USD","A","2001",24678.9641,
"LUX","GDP","TOT","MLN_USD","A","2002",26222.3817,
"LUX","GDP","TOT","MLN_USD","A","2003",27115.5478,
"LUX","GDP","TOT","MLN_USD","A","2004",29341.6997,
"LUX","GDP","TOT","MLN_USD","A","2005",31733.1018,
"LUX","GDP","TOT","MLN_USD","A","2006",36842.7161,
"LUX","GDP","TOT","MLN_USD","A","2007",40310.6539,
"LUX","GDP","TOT","MLN_USD","A","2008",42362.9641,
"LUX","GDP","TOT","MLN_USD","A","2009",40956.685,
"LUX","GDP","TOT","MLN_USD","A","2010",43402.0476,
"LUX","GDP","TOT","MLN_USD","A","2011",47690.506,
"LUX","GDP","TOT","MLN_USD","A","2012",48646.4521,
"LUX","GDP","TOT","MLN_USD","A","2013",51940.0871,
"LUX","GDP","TOT","MLN_USD","A","2014",56353.7548,
"LUX","GDP","TOT","MLN_USD","A","2015",58544.1624,
"LUX","GDP","TOT","MLN_USD","A","2016",61159.2587,
"MEX","GDP","TOT","MLN_USD","A","2000",1096780.8487,
"MEX","GDP","TOT","MLN_USD","A","2001",1116305.2561,
"MEX","GDP","TOT","MLN_USD","A","2002",1137595.9666,
"MEX","GDP","TOT","MLN_USD","A","2003",1183622.6767,
"MEX","GDP","TOT","MLN_USD","A","2004",1263142.4873,
"MEX","GDP","TOT","MLN_USD","A","2005",1341775.4557,
"MEX","GDP","TOT","MLN_USD","A","2006",1485209.6316,
"MEX","GDP","TOT","MLN_USD","A","2007",1560053.9097,
"MEX","GDP","TOT","MLN_USD","A","2008",1653898.1904,
"MEX","GDP","TOT","MLN_USD","A","2009",1637276.7903,
"MEX","GDP","TOT","MLN_USD","A","2010",1741129.4203,
"MEX","GDP","TOT","MLN_USD","A","2011",1911319.0963,
"MEX","GDP","TOT","MLN_USD","A","2012",2012767.7814,
"MEX","GDP","TOT","MLN_USD","A","2013",2064490.9475,
"MEX","GDP","TOT","MLN_USD","A","2014",2171926.7708,
"MEX","GDP","TOT","MLN_USD","A","2015",2228163.875,
"MEX","GDP","TOT","MLN_USD","A","2016",2316427.9828,"P"
"NLD","GDP","TOT","MLN_USD","A","2000",507629.391,
"NLD","GDP","TOT","MLN_USD","A","2001",532637.6538,
"NLD","GDP","TOT","MLN_USD","A","2002",556285.4649,
"NLD","GDP","TOT","MLN_USD","A","2003",553474.2149,
"NLD","GDP","TOT","MLN_USD","A","2004",582515.7216,
"NLD","GDP","TOT","MLN_USD","A","2005",614044.1197,
"NLD","GDP","TOT","MLN_USD","A","2006",669720.0289,
"NLD","GDP","TOT","MLN_USD","A","2007",719102.6455,
"NLD","GDP","TOT","MLN_USD","A","2008",763407.5745,
"NLD","GDP","TOT","MLN_USD","A","2009",736694.4928,
"NLD","GDP","TOT","MLN_USD","A","2010",748362.36,
"NLD","GDP","TOT","MLN_USD","A","2011",777880.9073,
"NLD","GDP","TOT","MLN_USD","A","2012",792041.8276,
"NLD","GDP","TOT","MLN_USD","A","2013",827475.7879,
"NLD","GDP","TOT","MLN_USD","A","2014",830318.4298,
